MatchNumber,RoundNumber,Date,Location,HomeTeam,AwayTeam,Result
253,26,01/03/2020 15:00,Stadio Via del Mare,Lecce,Atalanta,2 - 7
251,26,01/03/2020 18:00,Sardegna Arena,Cagliari,Roma,3 - 4
256,26,08/03/2020 13:45,Stadio Ennio Tardini,Parma,Spal,0 - 1
254,26,08/03/2020 15:00,San Siro,Milan,Genoa,1 - 2
257,26,08/03/2020 15:00,Stadio Luigi Ferraris,Sampdoria,Hellas Verona,2 - 1
259,26,08/03/2020 18:00,Stadio Friuli,Udinese,Fiorentina,0 - 0
260,26,08/03/2020 20:45,Allianz Stadium,Juventus,Inter,2 - 0
258,26,09/03/2020 18:30,Mapei Stadium,Sassuolo,Brescia,3 - 0
250,27,20/06/2020 19:30,Stadio Olimpico Grande Torino,Torino,Parma,1 - 1
246,27,20/06/2020 21:45,Stadio Marc'Antonio Bentegodi,Hellas Verona,Cagliari,2 - 1
241,27,21/06/2020 19:30,Gewiss Stadium,Atalanta,Sassuolo,4 - 1
247,27,21/06/2020 21:45,San Siro,Inter,Sampdoria,2 - 1
263,27,22/06/2020 19:30,Stadio Artemio Franchi,Fiorentina,Brescia,1 - 1
267,27,22/06/2020 19:30,Stadio Via del Mare,Lecce,Milan,1 - 4
262,27,22/06/2020 21:45,Stadio Renato Dall'Ara,Bologna,Juventus,0 - 2
265,27,23/06/2020 19:30,Stadio Marc'Antonio Bentegodi,Hellas Verona,Napoli,0 - 2
269,27,23/06/2020 19:30,Stadio Paolo Mazza,Spal,Cagliari,0 - 1
264,27,23/06/2020 21:45,Stadio Luigi Ferraris,Genoa,Parma,1 - 4
270,27,23/06/2020 21:45,Stadio Olimpico Grande Torino,Torino,Udinese,1 - 0
266,27,24/06/2020 19:30,San Siro,Inter,Sassuolo,3 - 3
261,27,24/06/2020 21:45,Gewiss Stadium,Atalanta,Lazio,3 - 2
268,27,24/06/2020 21:45,Stadio Olimpico,Roma,Sampdoria,2 - 1
273,28,26/06/2020 21:45,Allianz Stadium,Juventus,Lecce,4 - 0
271,28,27/06/2020 17:15,Stadio Mario Rigamonti,Brescia,Genoa,2 - 2
272,28,27/06/2020 19:30,Sardegna Arena,Cagliari,Torino,4 - 2
274,28,27/06/2020 21:45,Stadio Olimpico,Lazio,Fiorentina,2 - 1
275,28,28/06/2020 17:15,San Siro,Milan,Roma,2 - 0
276,28,28/06/2020 19:30,Stadio San Paolo,Napoli,Spal,3 - 1
278,28,28/06/2020 19:30,Stadio Luigi Ferraris,Sampdoria,Bologna,1 - 2
279,28,28/06/2020 19:30,Mapei Stadium,Sassuolo,Hellas Verona,3 - 3
280,28,28/06/2020 19:30,Stadio Friuli,Udinese,Atalanta,2 - 3
277,28,28/06/2020 21:45,Stadio Ennio Tardini,Parma,Inter,1 - 2
290,29,30/06/2020 19:30,Stadio Olimpico Grande Torino,Torino,Lazio,1 - 2
284,29,30/06/2020 21:45,Stadio Luigi Ferraris,Genoa,Juventus,1 - 3
282,29,01/07/2020 19:30,Stadio Renato Dall'Ara,Bologna,Cagliari,1 - 1
286,29,01/07/2020 19:30,San Siro,Inter,Brescia,6 - 0
283,29,01/07/2020 21:45,Stadio Artemio Franchi,Fiorentina,Sassuolo,1 - 3
285,29,01/07/2020 21:45,Stadio Marc'Antonio Bentegodi,Hellas Verona,Parma,3 - 2
287,29,01/07/2020 21:45,Stadio Via del Mare,Lecce,Sampdoria,1 - 2
289,29,01/07/2020 21:45,Stadio Paolo Mazza,Spal,Milan,2 - 2
281,29,02/07/2020 19:30,Gewiss Stadium,Atalanta,Napoli,2 - 0
288,29,02/07/2020 21:45,Stadio Olimpico,Roma,Udinese,0 - 2
294,30,04/07/2020 17:15,Allianz Stadium,Juventus,Torino,4 - 1
298,30,04/07/2020 19:30,Mapei Stadium,Sassuolo,Lecce,4 - 2
295,30,04/07/2020 21:15,Stadio Olimpico,Lazio,Milan,0 - 3
293,30,05/07/2020 17:15,San Siro,Inter,Bologna,1 - 2
291,30,05/07/2020 19:30,Stadio Mario Rigamonti,Brescia,Hellas Verona,2 - 0
292,30,05/07/2020 19:30,Sardegna Arena,Cagliari,Atalanta,0 - 1
